Repository name,Repository URL,Created At,Last Update Date,flagged_issues,Issue Count,Contributor Count
avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06 13:42:15,2025-02-16 03:27:55,1,4,30
microsoft/terminal,https://github.com/microsoft/terminal,2017-08-11 18:38:22,2025-02-16 03:09:05,1,24,30
django/django,https://github.com/django/django,2012-04-28 02:47:18,2025-02-16 03:44:08,1,0,30
