repo_url,issue_url,toxic_date,day-3_commits,day-3_contributors,day-3_lines_of_code,day-2_commits,day-2_contributors,day-2_lines_of_code,day-1_commits,day-1_contributors,day-1_lines_of_code,day0_commits,day0_contributors,day0_lines_of_code,day1_commits,day1_contributors,day1_lines_of_code,day2_commits,day2_contributors,day2_lines_of_code,day3_commits,day3_contributors,day3_lines_of_code,release_dates
https://api.github.com/repos/NixOS/nixpkgs,https://api.github.com/repos/NixOS/nixpkgs/issues/31045,2017-10-31 17:04:47+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,824,0,0,0,[]
https://api.github.com/repos/sparklemotion/nokogiri,https://api.github.com/repos/sparklemotion/nokogiri/issues/1736,2018-03-16 06:22:07+00:00,0,0,0,4,2,210,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,"['2025-02-18T22:21:32Z', '2025-01-19T20:32:08Z', '2024-12-29T22:31:30Z', '2024-12-25T16:23:45Z', '2024-12-16T17:49:24Z', '2024-12-12T21:22:30Z', '2024-12-10T14:41:49Z', '2024-12-08T20:43:25Z', '2024-12-02T20:20:07Z', '2024-12-02T20:32:51Z', '2024-07-27T19:53:45Z', '2024-06-13T13:46:36Z', '2024-05-13T14:02:57Z', '2024-04-10T18:18:05Z', '2024-03-16T13:18:01Z', '2024-03-15T21:22:43Z', '2024-02-04T16:53:29Z', '2024-02-03T16:27:49Z', '2023-12-28T00:09:58Z', '2023-12-13T22:04:55Z', '2023-11-17T16:14:27Z', '2023-08-11T19:26:29Z', '2023-07-05T14:34:26Z', '2023-05-24T13:31:25Z', '2023-05-24T13:04:33Z', '2023-05-19T14:06:32Z', '2023-05-15T19:58:35Z', '2023-05-11T18:13:51Z', '2023-04-11T17:01:02Z', '2023-02-13T17:42:46Z']"
https://api.github.com/repos/OpenShot/openshot-qt,https://api.github.com/repos/OpenShot/openshot-qt/issues/2189,2018-10-05 23:55:25+00:00,1,1,20,0,0,0,4,2,460987,0,0,0,0,0,0,4,2,126,0,0,0,"['2024-12-22T19:13:53Z', '2024-07-11T18:40:00Z', '2024-06-24T22:21:19Z', '2023-04-20T22:04:01Z', '2023-04-06T22:27:58Z', '2022-12-08T21:52:18Z', '2021-09-06T18:57:08Z', '2021-08-25T15:29:50Z', '2020-03-03T08:10:10Z', '2020-02-08T21:30:20Z', '2019-03-20T22:07:14Z', '2018-09-22T22:09:20Z', '2018-06-30T06:41:03Z', '2017-11-12T10:26:14Z', '2017-09-07T04:24:23Z', '2017-06-01T04:57:36Z', '2017-05-18T22:46:00Z', '2017-05-10T06:20:14Z', '2017-04-01T01:40:08Z', '2017-03-31T04:40:08Z', '2016-12-21T06:27:26Z', '2016-10-03T21:28:52Z', '2016-10-03T22:52:32Z', '2016-10-03T22:52:49Z', '2016-10-03T23:20:42Z']"
https://api.github.com/repos/pandas-dev/pandas,https://api.github.com/repos/pandas-dev/pandas/issues/7750,2014-07-14 18:00:37+00:00,4,3,58,2,2,4,5,3,468,4,3,4107,3,3,97,4,3,158,0,0,0,"['2024-09-20T13:10:41Z', '2024-04-10T19:47:02Z', '2024-02-23T15:29:27Z', '2024-01-20T03:33:20Z', '2023-12-22T19:57:46Z', '2023-12-08T15:39:17Z', '2023-11-10T19:07:37Z', '2023-10-26T21:16:59Z', '2023-09-20T21:02:05Z', '2023-08-30T13:24:32Z', '2023-08-11T18:43:29Z', '2023-06-28T23:24:00Z', '2023-05-28T21:06:46Z', '2023-04-24T00:20:53Z', '2023-04-03T13:01:27Z', '2023-03-16T15:04:43Z', '2023-02-20T20:32:32Z', '2023-01-19T03:34:05Z', '2022-11-22T07:07:41Z', '2022-10-19T06:04:06Z', '2022-09-19T14:35:58Z', '2022-08-31T12:20:17Z', '2022-08-24T12:21:12Z', '2022-06-23T13:29:00Z', '2022-04-02T10:30:42Z', '2022-02-12T11:19:26Z', '2022-01-22T14:46:18Z', '2022-01-06T11:02:19Z', '2021-12-12T14:25:33Z', '2021-10-17T16:40:24Z']"
https://api.github.com/repos/PapirusDevelopmentTeam/papirus-icon-theme,https://api.github.com/repos/PapirusDevelopmentTeam/papirus-icon-theme/issues/1453,2018-08-31 08:44:49+00:00,3,1,215,0,0,0,2,1,192,9,3,406,3,1,173,2,1,124,0,0,0,"['2025-02-01T10:48:24Z', '2024-05-01T19:08:48Z', '2024-02-01T16:16:49Z', '2023-12-01T15:05:50Z', '2023-11-01T15:40:24Z', '2023-09-01T14:03:50Z', '2023-08-01T17:42:01Z', '2023-06-01T09:26:00Z', '2023-03-01T15:47:31Z', '2023-01-04T17:46:38Z', '2022-12-01T15:36:44Z', '2022-11-01T15:10:29Z', '2022-09-10T05:58:36Z', '2022-08-08T05:17:05Z', '2022-07-10T05:58:10Z', '2022-06-06T05:56:52Z', '2022-05-08T04:44:48Z', '2022-03-02T16:25:04Z', '2022-02-04T09:30:50Z', '2022-01-01T11:22:02Z', '2021-12-01T20:17:16Z', '2021-11-01T18:25:42Z', '2021-10-01T16:21:30Z', '2021-09-02T03:11:08Z', '2021-08-02T07:10:38Z', '2021-07-01T19:01:27Z', '2021-06-01T16:32:28Z', '2021-05-01T17:29:36Z', '2021-04-01T17:42:56Z', '2021-03-02T19:04:33Z']"
https://api.github.com/repos/phpstan/phpstan,https://api.github.com/repos/phpstan/phpstan/issues/1856,2019-01-29 11:57:17+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,136,0,0,0,"['2025-03-05T13:47:29Z', '2025-03-05T13:41:27Z', '2025-02-19T15:48:35Z', '2025-02-19T15:43:48Z', '2025-02-13T12:52:40Z', '2025-02-13T12:46:28Z', '2025-02-10T08:28:30Z', '2025-02-07T15:06:07Z', '2025-02-07T15:02:40Z', '2025-01-21T14:55:04Z', '2025-01-21T14:51:18Z', '2025-01-05T16:46:48Z', '2025-01-05T16:41:21Z', '2024-12-31T07:34:14Z', '2024-12-31T07:27:48Z', '2024-12-17T17:15:27Z', '2024-12-17T17:06:52Z', '2024-11-28T22:21:03Z', '2024-11-28T22:17:55Z', '2024-11-17T14:18:02Z', '2024-11-17T14:11:38Z', '2024-11-11T15:44:30Z', '2024-11-11T07:23:46Z', '2024-11-11T15:38:05Z', '2024-11-10T17:15:08Z', '2024-11-06T19:12:19Z', '2024-10-18T11:13:30Z', '2024-10-06T15:06:59Z', '2024-09-26T12:48:18Z', '2024-09-19T07:58:53Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/13142,2013-12-03 12:32:24+00:00,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,28,10,559,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/31437,2017-12-13 23:14:17+00:00,0,0,0,0,0,0,0,0,0,0,0,0,3,2,62,26,11,2482,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/33009,2018-05-28 18:10:17+00:00,0,0,0,0,0,0,0,0,0,13,4,196,11,3,225,6,5,406,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/5798,2012-04-10 06:26:37+00:00,0,0,0,0,0,0,0,0,0,0,0,0,3,1,95,20,10,656,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/594,2011-05-16 03:03:48+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,1673,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/rails/rails,https://api.github.com/repos/rails/rails/issues/9894,2013-03-24 02:13:02+00:00,0,0,0,1,1,20,0,0,0,0,0,0,15,8,531,12,6,261,0,0,0,"['2024-12-13T20:01:53Z', '2024-12-10T21:45:36Z', '2024-12-10T21:41:16Z', '2024-12-10T21:26:33Z', '2024-12-10T21:21:23Z', '2024-11-07T22:29:02Z', '2024-10-31T01:44:10Z', '2024-10-31T01:29:29Z', '2024-10-30T00:31:09Z', '2024-10-23T22:33:56Z', '2024-10-23T22:28:10Z', '2024-10-23T22:21:39Z', '2024-10-23T21:57:06Z', '2024-10-19T01:38:20Z', '2024-10-15T20:45:37Z', '2024-10-15T20:39:03Z', '2024-10-15T20:23:05Z', '2024-10-15T21:24:11Z', '2024-09-26T15:04:39Z', '2024-08-22T19:49:00Z', '2024-08-22T21:29:51Z', '2024-08-10T00:04:51Z', '2024-08-06T19:33:29Z', '2024-07-11T16:05:58Z', '2024-06-04T18:18:39Z', '2024-06-04T18:07:09Z', '2024-06-04T18:06:59Z', '2024-06-04T18:06:31Z', '2024-05-31T18:45:55Z', '2024-05-16T19:31:49Z']"
https://api.github.com/repos/aksonov/react-native-router-flux,https://api.github.com/repos/aksonov/react-native-router-flux/issues/2835,2018-01-26 16:02:01+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['2021-03-26T08:21:35Z', '2021-03-10T14:05:02Z', '2020-01-11T13:02:35Z', '2019-09-17T12:26:48Z', '2018-11-10T17:39:45Z', '2018-10-01T07:50:09Z', '2018-09-27T07:46:59Z', '2018-09-24T14:00:19Z', '2018-09-24T08:39:08Z', '2018-08-10T06:01:38Z', '2018-08-08T10:32:57Z', '2018-05-14T08:14:38Z', '2018-01-05T15:09:15Z', '2017-12-29T09:21:10Z', '2017-11-14T12:33:16Z', '2017-11-08T14:37:12Z', '2017-10-10T14:05:37Z', '2017-08-28T14:44:22Z', '2017-08-28T13:34:35Z', '2017-08-23T15:26:17Z', '2017-08-16T09:42:16Z', '2017-08-08T11:20:00Z', '2017-08-03T13:06:09Z', '2017-07-31T13:02:53Z', '2017-07-25T13:46:55Z', '2017-07-19T13:45:53Z', '2017-07-14T15:14:03Z', '2017-07-14T18:41:33Z', '2017-07-13T05:59:41Z', '2017-07-10T13:30:16Z']"
